,영화명,평점
0,스파이더맨: 노 웨이 홈,8.80
1,모가디슈,8.33
2,이터널스,5.42
3,블랙 위도우,8.46
4,분노의 질주: 더 얼티메이트,7.36
5,싱크홀,6.36
6,극장판 귀멸의 칼날: 무한열차편,9.27
7,베놈 2: 렛 데어 비 카니지,6.07
8,소울,0.00
9,크루엘라,9.20
10,샹치와 텐 링즈의 전설,6.32
11,인질,6.53
12,듄,7.95
13,보이스,8.44
14,007 노 타임 투 다이,6.76
15,미나리,7.57
16,발신제한,6.20
17,보스 베이비 2,8.99
18,콰이어트 플레이스 2,8.14
19,랑종,5.22
20,유체이탈자,7.53
21,컨저링3: 악마가 시켰다,6.52
22,기적,9.25
23,고질라 VS. 콩,8.17
24,킹스맨: 퍼스트 에이전트,7.83
25,엔칸토: 마법의 세계,8.26
26,연애 빠진 로맨스,8.33
27,장르만 로맨스,7.00
28,미션 파서블,7.18
29,더 수어사이드 스쿼드,7.08
30,비와 당신의 이야기,6.73
31,서복,0
32,킬러의 보디가드 2,7.09
33,루카,9.02
34,자산어보,0
35,내일의 기억,7.62
36,라야와 마지막 드래곤,9.10
37,프리 가이,8.90
38,더 스파이,8.52
39,강릉,5.34
40,정글 크루즈,8.04
41,명탐정 코난: 비색의 탄환,8.83
42,캐시트럭,7.94
43,크루즈 패밀리: 뉴 에이지,9.03
44,이스케이프 룸 2: 노 웨이 아웃,7.77
45,"극장판 포켓몬스터: 정글의 아이, 코코",8.97
46,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,9.28
47,매트릭스: 리저렉션,5.46
48,방법: 재차의,7.33
49,새해전야,6.97
50,고장난 론,8.98
51,원더 우먼 1984,5.12
52,카오스 워킹,6.22
53,파이프라인,6.25
54,톰과 제리,7.61
55,노바디,0.00
56,스파이럴,6.28
57,더 박스,0.00
58,올드,6.70
59,해피 뉴 이어,7.07
60,고스트버스터즈 라이즈,7.61
61,태일이,8.42
62,아담스 패밀리 2,6.87
63,디어 에반 핸슨,7.46
64,미드나이트,0.00
65,몬스터 헌터,5.72
66,여고괴담 여섯번째 이야기 : 모교,4.33
67,귀문,4.16
68,프렌치 디스패치,7.97
69,노매드랜드,8.49
70,세자매,0.00
71,어니스트 씨프,7.32
72,도라에몽: 스탠바이미 2,8.93
73,맨 인 더 다크 2,7.72
74,극장판 콩순이: 장난감나라 대모험,8.88
75,돈 룩 업,8.65
76,해리 포터와 불의 잔,0
77,용과 주근깨 공주,6.69
78,극장판 도라에몽: 진구의 신공룡,8.98
79,해리포터와 마법사의 돌,0
80,귀멸의 칼날: 남매의 연,6.81
81,코다,9.14
82,화양연화,0.00
83,명탐정 코난: 진홍의 수학여행,0
84,퍼피 구조대 더 무비,9.40
85,라스트 듀얼: 최후의 결투,8.89
86,중경삼림,0
87,너의 이름은.,0
88,최면,4.88
89,내가 죽기를 바라는 자들,7.21
90,캔디맨,5.59
91,인 더 하이츠,7.95
92,더 파더,0.00
93,라스트 나잇 인 소호,7.78
94,귀멸의 칼날: 나타구모산 편,8.32
95,아네트,7.25
96,모리타니안,8.71
97,말리그넌트,7.33
98,여름날 우리,8.74
99,모탈 컴뱃,5.67
100,리스타트,0.00
101,꽃다발 같은 사랑을 했다,9.05
102,아이,9.14
103,건파우더 밀크셰이크,6.52
104,레미니센스,7.00
105,반지의 제왕 : 반지원정대,0
106,어른들은 몰라요,0.00
107,은혼 더 파이널,9.32
108,학교 가는 길,9.57
109,뱅드림! 필름 라이브 세컨드 스테이지,8.80
110,괴기맨숀,6.09
111,고백,0.00
112,해리포터와 아즈카반의 죄수,0
113,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,8.16
114,해피 투게더,0
115,노회찬6411,6.05
116,아야와 마녀,6.30
117,몬스타엑스 : 더 드리밍,9.84
118,신데렐라 2: 마법에 걸린 왕자,4.68
119,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,9.09
120,그린 나이트,7.33
121,퍼펙트 케어,7.00
122,아이스 로드,7.34
123,수색자,6.87
124,귀멸의 칼날: 주합회의·나비저택 편,7.77
125,반지의 제왕 : 왕의 귀환,0
126,마크맨,5.75
127,아들의 이름으로,6.42
128,반지의 제왕 : 두개의 탑,0
129,바다 탐험대 옥토넛 : 육지수호 대작전,6.78
130,조제,6.58
131,"조제, 호랑이 그리고 물고기들",9.06
132,내겐 너무 소중한 너,9.19
133,체르노빌 1986,7.90
134,굴뚝마을의 푸펠,8.89
135,F20,5.65
136,스틸워터,7.55
137,부활: 그 증거,9.26
138,보이저스,5.65
139,아이 엠 우먼,0
140,도굴,7.25
141,뱅드림! 로젤리아 에피소드Ⅰ: 약속,8.14
142,아이들은 즐겁다,9.36
143,아무도 없는 곳,6.81
144,뱅가드,3.49
145,날씨의 아이,0
146,BIFAN2021 판타스틱 단편 걸작선 1,0
147,하이큐!! 땅 VS 하늘,0
148,애프터: 관계의 함정,7.29
149,블라인드,0.00
150,드림빌더,0
151,드라이브 마이 카,8.41
152,프로페서 앤 매드맨,0
153,스페이스 잼: 새로운 시대,7.76
154,그래비티,0.00
155,나는 나를 해고하지 않는다,8.02
156,너에게 가는 길,9.20
157,동백,7.51
158,몬테크리스토: 더 뮤지컬 라이브,9.31
159,잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,0.00
160,#아이엠히어,0.00
161,북스마트,0
162,리스펙트,7.53
163,쁘띠 마망,8.57
164,송가인 더 드라마,9.05
165,사랑하고 사랑받고 차고 차이고,8.48
166,오필리아,0
167,캐롤,0
168,뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,9.18
169,빛나는 순간,8.37
170,브레이브 언더 파이어,7.49
171,블랙핑크 더 무비,9.24
172,더블패티,6.73
173,워 위드 그랜파,7.81
174,십개월의 미래,8.09
175,라라랜드,0
176,빅풋 주니어2: 패밀리가 떴다,9.00
177,이번엔 잘 되겠지,8.78
178,웨이 다운,0.00
179,퍼스트 카우,0
180,커넥트,5.98
181,호스트: 접속금지,6.78
182,해길랍,0
183,빅 피쉬,0
184,마이 뉴욕 다이어리,7.41
185,아이 씨 유,0.00
186,더 레이서,7.64
187,베르테르,0.00
188,페어웰,0.00
189,혼자 사는 사람들,8.07
190,베네데타,7.80
191,메이드 인 이태리,7.02
192,낫아웃,7.75
193,"틱, 틱... 붐!",8.82
194,엘프,0.00
195,라스트 레터,0
196,티탄,6.90
197,피닉스,0.00
198,좋은 사람,8.35
199,늑대와 춤을,0
200,호빗: 뜻밖의 여정,0
201,최선의 삶,8.13
202,스파이의 아내,8.17
203,팬텀: 더 뮤지컬 라이브,8.83
204,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,9.20
205,스피릿,7.72
206,화이트데이: 부서진 결계,0
207,토이 솔져스: 가짜사나이2 더 컴플리트,8.19
208,레 미제라블,0
209,미스터 존스,0
210,정말 먼 곳,8.01
211,킬링 카인드: 킬러의 수제자,5.96
212,타다: 대한민국 스타트업의 초상,8.02
213,1984 최동원,8.92
214,한창나이 선녀님,9.52
215,빛과 철,7.99
216,매직 스쿨: 초보마법사 아우라의 대모험,5.64
217,남색대문,0
218,타인의 친절,0
219,슈퍼노바,7.75
