,영화명,평점
0,부산행,8.00
1,검사외전,7.94
2,캡틴 아메리카: 시빌 워,8.67
3,밀정,8.44
4,터널,8.37
5,인천상륙작전,8.04
6,럭키,0.00
7,곡성,7.62
8,덕혜옹주,8.35
9,닥터 스트레인지,8.72
10,마스터,8.11
11,주토피아,9.36
12,신비한 동물사전,8.18
13,판도라,8.20
14,아가씨,7.15
15,쿵푸팬더3,8.63
16,귀향,9.16
17,데드풀,8.21
18,나우 유 씨 미 2,8.31
19,형,8.37
20,엑스맨: 아포칼립스,8.19
21,미스 페레그린과 이상한 아이들의 집,8.46
22,히말라야,8.33
23,제이슨 본,8.40
24,도리를 찾아서,8.53
25,아수라,6.99
26,정글북,8.45
27,마이펫의 이중생활,8.57
28,라라랜드,8.62
29,배트맨 대 슈퍼맨: 저스티스의 시작,6.86
30,굿바이 싱글,8.10
31,봉이 김선달,7.72
32,레버넌트: 죽음에서 돌아온 자,7.87
33,컨저링 2,8.23
34,내부자들: 디 오리지널,9.04
35,수어사이드 스쿼드,6.96
36,인디펜던스 데이 : 리써전스,7.22
37,탐정 홍길동: 사라진 마을,7.75
38,벤허,8.26
39,굿 다이노,8.79
40,셜록: 유령신부,7.15
41,특별수사: 사형수의 편지,8.31
42,시간이탈자,7.10
43,동주,9.38
44,워크래프트: 전쟁의 서막,8.66
45,스타트렉 비욘드,8.21
46,미씽: 사라진 여자,8.40
47,"당신, 거기 있어줄래요",8.73
48,라이트 아웃,7.36
49,오빠생각,8.52
50,"날, 보러와요",7.25
51,씽,8.99
52,맨 인 더 다크,7.92
53,"고산자, 대동여지도",7.17
54,미 비포 유,8.51
55,매그니피센트 7,7.92
56,갓 오브 이집트,7.39
57,레전드 오브 타잔,7.66
58,좋아해줘,8.29
59,브리짓 존스의 베이비,8.80
60,스플릿,9.00
61,런던 해즈 폴른,7.37
62,국가대표 2,8.64
63,인페르노,7.79
64,앵그리버드 더 무비,8.28
65,그날의 분위기,6.48
66,사냥,6.12
67,널 기다리며,7.57
68,설리: 허드슨강의 기적,9.16
69,잭 리처: 네버 고 백,7.11
70,로그 원: 스타워즈 스토리,8.49
71,싱 스트리트,9.05
72,아이스 에이지: 지구 대충돌,8.20
73,몬스터 호텔 2,8.59
74,메카닉: 리크루트,6.66
75,고스트버스터즈,7.36
76,거울나라의 앨리스,8.27
77,가려진 시간,8.59
78,명탐정 코난: 순흑의 악몽,8.99
79,해어화,8.10
80,계춘할망,8.84
81,"로봇, 소리",8.47
82,스타워즈: 깨어난 포스,1.00
83,빅쇼트,8.56
84,헌츠맨: 윈터스 워,7.61
85,나를 잊지 말아요,0
86,나의 소녀시대,8.85
87,조선마술사,6.59
88,언더 워터,8.10
89,클로버필드 10번지,7.54
90,위자: 저주의 시작,7.15
