,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,평점
0,1,도둑들,2012-07-25,93664808500,0.064,12983178,1091,155392,한국,"한국,홍콩",(주)쇼박스,7.65
1,2,"광해, 왕이 된 남자",2012-09-13,88899448769,0.061,12319390,1001,203400,한국,한국,(주)씨제이이엔엠,9.25
2,3,어벤져스,2012-04-26,59557853478,0.041,7074867,967,109697,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",8.8
3,4,늑대소년,2012-10-31,46590107000,0.032,6654390,854,109069,한국,한국,(주)씨제이이엔엠,8.66
4,5,다크 나이트 라이즈,2012-07-19,47644838000,0.033,6396528,1210,81254,미국,"미국,영국",워너브러더스 코리아(주),9.02
5,6,바람과 함께 사라지다,2012-08-08,34614661161,0.024,4909937,694,78591,한국,한국,(주)넥스트엔터테인먼트월드(NEW),7.59
6,7,어메이징 스파이더맨,2012-06-28,41163951235,0.028,4853123,1118,92755,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,7.77
7,8,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,0.025,4719872,713,91889,한국,한국,(주)쇼박스,8.65
8,9,내 아내의 모든 것,2012-05-17,34223620500,0.024,4598821,563,91773,한국,한국,(주)넥스트엔터테인먼트월드(NEW),8.58
9,10,연가시,2012-07-05,32175400664,0.022,4515833,759,71928,한국,한국,(주)씨제이이엔엠,7.16
10,11,건축학개론,2012-03-22,30222696000,0.021,4111068,593,106067,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,8.68
11,12,댄싱퀸,2012-01-18,30130775500,0.021,4058225,544,80987,한국,한국,(주)씨제이이엔엠,8.87
12,13,부러진 화살,2012-01-18,25878629500,0.018,3451025,530,71560,한국,한국,(주)넥스트엔터테인먼트월드(NEW),8.91
13,14,맨 인 블랙 3,2012-05-24,27301520070,0.019,3379762,770,69538,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,8.19
14,15,레미제라블,2012-12-19,23428605500,0.016,3210107,696,33153,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),8.39
15,16,26년,2012-11-29,21111878145,0.015,2940475,611,50044,한국,한국,"(주)인벤트스톤,영화사청어람(주)",6.42
16,17,내가 살인범이다,2012-11-08,20392266000,0.014,2729798,547,58409,한국,한국,(주)쇼박스,8.48
17,18,브레이킹 던 part2,2012-11-15,18909583065,0.013,2654817,665,56995,미국,미국,(주)넥스트엔터테인먼트월드(NEW),8.74
