,영화명,평점
0,트랜스포머 3,7.06
1,최종병기 활,7.86
2,써니,9.12
3,완득이,8.80
4,쿵푸팬더 2,8.71
5,미션임파서블:고스트프로토콜,8.74
6,조선명탐정 : 각시투구꽃의 비밀,8.12
7,도가니,9.27
8,해리포터와 죽음의 성물2,9.33
9,리얼 스틸,9.06
10,캐리비안의 해적: 낯선 조류,8.08
11,퀵,7.85
12,고지전,8.68
13,오싹한 연애,8.54
14,혹성탈출: 진화의 시작,8.77
15,위험한 상견례,7.65
16,엑스맨: 퍼스트 클래스,9.05
17,의뢰인,8.07
18,가문의 영광4 - 가문의 수난,4.16
19,블라인드,8.08
20,7광구,3.34
21,마당을 나온 암탉,8.88
22,라스트 갓파더,6.24
23,글러브,8.84
24,아이들...,9.02
25,걸리버 여행기,5.74
26,평양성,7.78
27,토르: 천둥의 신,7.33
28,헬로우 고스트,8.88
29,그대를 사랑합니다,9.33
30,블랙 스완,8.72
31,분노의 질주: 언리미티드,8.95
32,마이 웨이,7.20
33,브레이킹 던 part1,7.02
34,신들의 전쟁,8.65
35,월드 인베이젼,7.56
36,셜록홈즈 : 그림자 게임,8.00
37,소스 코드,9.00
38,특수본,6.97
39,수상한 고객들,8.64
40,오직 그대만,9.14
41,개구쟁이 스머프,8.55
42,라푼젤,9.34
43,심장이 뛴다,7.53
44,파퍼씨네 펭귄들,8.53
45,메가마인드,8.78
46,체포왕,7.72
47,만추,7.43
48,퍼펙트 게임,8.94
49,킹스 스피치,8.32
50,틴틴 : 유니콘호의 비밀,7.34
51,화이트: 저주의 멜로디,6.84
52,푸른소금,7.07
53,황해,7.94
54,풍산개,7.00
55,통증,7.83
56,고양이: 죽음을 보는 두 개의 눈,5.07
57,삼총사 3D,7.32
58,아이 엠 넘버 포,7.34
59,리오,8.94
60,명탐정 코난 : 침묵의 15분,9.07
61,머니볼,8.43
62,아더 크리스마스,8.72
63,인 타임,7.42
64,콜롬비아나,7.49
65,너는 펫,6.25
66,챔프,8.40
67,러브 & 드럭스,7.83
68,언노운,7.72
69,퍼스트 어벤져,7.81
70,앨빈과 슈퍼밴드3,8.40
71,슈퍼 에이트,6.88
72,카운트다운,7.43
73,카 2,8.02
74,생텀,7.34
75,세 얼간이,0
76,해리 포터와 죽음의 성물1,8.21
77,시즌 오브 더 위치: 마녀 호송단,6.67
78,모비딕,7.31
79,랭고,6.55
80,티끌모아 로맨스,7.53
81,사랑이 무서워,7.00
82,내 이름은 칸,9.29
83,컨트롤러,7.30
84,레드 라이딩 후드,7.02
85,커플즈,7.96
86,짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,8.84
87,새미의 어드벤쳐,8.99
88,링컨 차를 타는 변호사,8.20
89,세상에서 가장 아름다운 이별,9.28
90,마이 블랙 미니드레스,6.86
91,트론: 새로운 시작,7.33
92,상하이,0.00
93,친구와 연인사이,7.43
94,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,7.79
95,파이널 데스티네이션5,6.52
96,카우보이 & 에이리언,5.74
97,마마,7.88
98,적과의 동침,7.51
99,줄리아의 눈,7.91
100,컨테이젼,8.28
101,알파 앤 오메가,8.36
102,노미오와 줄리엣,8.31
103,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,8.13
104,메카닉,8.13
105,그린랜턴: 반지의 선택,5.86
106,투혼,7.93
107,한나,6.16
108,굿모닝 에브리원,8.36
109,코쿠리코 언덕에서,6.03
110,그린 호넷,6.68
111,쥴리의 육지 대모험,7.08
112,바니버디,7.71
113,127시간,8.17
114,"울지마, 톤즈",9.34
115,나는 아빠다,9.20
116,킬러 엘리트,7.26
117,빨간모자의 진실 2,6.37
118,어브덕션,6.42
119,써커 펀치,6.97
120,헬프,9.43
121,프렌즈: 몬스터섬의비밀,8.87
122,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,8.78
123,극장판 도라에몽: 진구와 철인군단 날아라 천사들,8.86
124,파이터,8.04
125,50/50,8.36
126,제인 에어,7.94
127,비스틀리,7.55
128,오늘,8.03
129,파라노말 액티비티 3,6.92
