순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,7번방의 선물,2013-01-23,91431914670,0.059,12811206,866,166815,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,설국열차,2013-08-01,67010087500,0.043,9349993,1128,124823,한국,"한국,체코",(주)씨제이이엔엠
3,관상,2013-09-11,66005427500,0.043,9134581,1240,125073,한국,한국,(주)쇼박스
4,아이언맨 3,2013-04-25,70806364000,0.046,9001331,1389,163584,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
5,베를린,2013-01-30,52355568637,0.034,7166290,894,111744,한국,"한국,독일",(주)씨제이이엔엠
6,은밀하게 위대하게,2013-06-05,48700887413,0.031,6959083,1341,117461,한국,한국,(주)쇼박스
7,변호인,2013-12-18,40953398000,0.026,5687047,923,55006,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,숨바꼭질,2013-08-14,39602977500,0.026,5604103,779,88062,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,더 테러 라이브,2013-07-31,39869706381,0.026,5584139,809,93488,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
10,감시자들,2013-07-03,39380162179,0.025,5508017,949,100309,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,월드 워 Z,2013-06-20,38555356000,0.025,5237525,964,100823,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
12,신세계,2013-02-21,34881330905,0.022,4682492,671,90580,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
13,박수건달,2013-01-09,28343986569,0.018,3893216,603,60585,한국,한국,(주)쇼박스
14,스파이,2013-09-05,24509278305,0.016,3435802,785,72796,한국,"한국,태국",(주)씨제이이엔엠
15,그래비티,2013-10-17,31214018600,0.02,3194693,636,80584,미국,미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
16,타워,2012-12-25,22996601500,0.015,3166425,638,58869,한국,한국,(주)씨제이이엔엠
17,감기,2013-08-14,21774884000,0.014,3117859,806,55046,한국,한국,아이러브시네마
18,토르: 다크 월드,2013-10-30,22525808500,0.015,3039889,733,78095,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
19,레드: 더 레전드,2013-07-18,21511371970,0.014,3004649,739,55733,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
20,친구 2,2013-11-14,21795237513,0.014,2969900,968,69856,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
21,어바웃 타임,2013-12-05,20908973000,0.013,2856065,568,49967,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
22,나우 유 씨 미 : 마술사기단,2013-08-22,19146691869,0.012,2718227,691,54658,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
23,소원,2013-10-02,18529862600,0.012,2711083,651,72329,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
24,레미제라블,2012-12-19,19635813500,0.013,2707479,592,49348,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
25,퍼시픽 림,2013-07-11,20477374512,0.013,2539113,1005,55655,미국,미국,워너브러더스 코리아(주)
26,화이: 괴물을 삼킨 아이,2013-10-09,17695412795,0.011,2394453,817,59049,한국,한국,(주)쇼박스
27,컨저링,2013-09-17,16353225777,0.011,2262758,563,48616,미국,미국,워너브러더스 코리아(주)
28,맨 오브 스틸,2013-06-13,17092964063,0.011,2182227,998,55514,미국,미국,워너브러더스 코리아(주)
29,용의자,2013-12-24,15629492500,0.01,2176752,807,26814,한국,한국,(주)쇼박스
30,호빗: 스마우그의 폐허,2013-12-12,16564184549,0.011,2115878,811,35223,미국,"미국,뉴질랜드",워너브러더스 코리아(주)
31,몽타주,2013-05-16,15002458500,0.01,2095592,544,53195,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
32,터보,2013-07-25,13116737000,0.008,1924414,634,28783,미국,미국,(주)씨제이이엔엠
33,연애의 온도,2013-03-21,13798864446,0.009,1865195,567,57847,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
34,지.아이.조 2,2013-03-28,14457048500,0.009,1855917,766,62627,미국,"미국,캐나다",(주)씨제이이엔엠
35,분노의 질주: 더 맥시멈,2013-05-22,13210338042,0.009,1790916,657,44371,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
36,공범,2013-10-24,12333110882,0.008,1766285,611,51425,한국,한국,(주)씨제이이엔엠
37,집으로 가는 길,2013-12-11,12373339745,0.008,1763231,740,39811,한국,한국,(주)씨제이이엔엠
38,전설의 주먹,2013-04-10,12777314500,0.008,1744585,724,57593,한국,한국,(주)씨제이이엔엠
39,파파로티,2013-03-14,11825934000,0.008,1716429,552,53601,한국,한국,(주)쇼박스
40,스타트렉 다크니스,2013-05-30,12964828000,0.008,1605271,607,40504,미국,미국,(주)씨제이이엔엠
41,라이프 오브 파이,2013-01-01,15812506500,0.01,1588373,392,32722,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
42,오블리비언,2013-04-11,11165841500,0.007,1515356,634,47871,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
43,위대한 개츠비,2013-05-16,10581329643,0.007,1445248,562,36008,미국,"미국,호주",워너브러더스 코리아(주)
44,다이하드: 굿 데이 투 다이,2013-02-06,10825703000,0.007,1438056,459,33055,미국,미국,이십세기폭스코리아(주)
