,movie_id,title,genre,country,director,avg_rating,actor,year,user_id,rating
0,0,마태복음,"드라마,사극",이탈리아,피에르 파올로 파솔리니,7.71,"엔리케 이라조퀴,마르게리타 카루소,수잔나 파솔리니",1964,147,1
1,1,월ㆍE,"애니메이션,코미디,액션,어드벤처,가족,SF",미국,앤드류 스탠튼,9.42,"벤 버트,엘리사 나이트,제프 갈린,프레드 윌러드",2008,78,3
2,2,설국열차,"SF,액션","한국,체코",봉준호,7.98,"크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,알리슨 필,고아성",2013,234,4
3,3,매드 맥스: 분노의 도로,"액션,어드벤처,스릴러","미국,호주",조지 밀러,8.81,"톰 하디,샤를리즈 테론,니콜라스 홀트",2015,47,5
4,4,사랑하고 있습니까,"판타지,멜로/로맨스",한국,김정권,7.8,"김인권,이나라,서태화",2019,172,1
5,5,다키스트 아워,"드라마,전쟁",영국,조 라이트,9.11,"릴리 제임스,게리 올드만,벤 멘델슨,크리스틴 스콧 토마스,스티븐 딜레인",2017,190,1
6,6,태양의 소녀들,"드라마,전쟁",프랑스,에바 허슨,9.07,"골쉬프테 파라하니,엠마누엘 베르코",2018,273,3
7,7,쁘띠 마망,"드라마,판타지",프랑스,셀린 시아마,8.57,"조세핀 산스,가브리엘 산스",2021,211,4
8,8,해리포터와 아즈카반의 죄수,드라마,미국,알폰소 쿠아론,8.75,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트",2004,281,5
9,9,해리포터와 비밀의 방,드라마,미국,크리스 콜럼버스,8.9,"다니엘 래드클리프,루퍼트 그린트,엠마 왓슨",2002,213,5
10,10,해리포터와 마법사의 돌,"가족,판타지",미국,크리스 콜럼버스,9.36,"다니엘 래드클리프,루퍼트 그린트,엠마 왓슨",2001,129,2
11,11,노래로 쏘아 올린 기적,드라마,"팔레스타인,아르헨티나",하니 아부 아사드,8.22,"타우픽 바롬,카이스 아타라,히바 아타라",2015,186,2
12,12,용과 주근깨 공주,"애니메이션,어드벤처,드라마",일본,호소다 마모루,6.68,"사토 타케루,나리타 료,소메타니 쇼타,타마시로 티나",2021,150,1
13,13,보이콰이어,드라마,미국,프랑소아 지라드,8.74,"캐시 베이츠,더스틴 호프만",2014,394,1
14,14,노웨어 스페셜,드라마,이탈리아,우베르토 파솔리니,8.55,"제임스 노턴,다니엘 라몬트",2020,115,1
15,15,나는 조선사람입니다,다큐멘터리,한국,김철민,8.62,"강종헌,김창오,박금숙,부만수,서원수,이동석,이철",2020,334,2
16,16,너에게 가는 길,다큐멘터리,한국,변규리,9.2,"정은애,강선화,봉레오,정예준,곽인선,남성준,정동렬",2021,276,4
17,18,코다,드라마,프랑스,션 헤이더,9.14,"에밀리아 존스,퍼디아 월시-필로,트로이 코처,다니엘 듀런트,말리 매트린,에우헤니오 데르베스,에이미 포사이스",2021,26,1
18,20,리슨,드라마,영국,아나 로샤,7.76,"루시아 모니즈,소피아 마일즈,메이지 슬라이",2020,265,2
19,21,한창나이 선녀님,다큐멘터리,한국,원호연,9.52,임선녀,2021,340,3
20,22,"좋은 빛, 좋은 공기",다큐멘터리,한국,임흥순,7.41,"차초강,추혜성,박유덕,김길자,손미순,이삼자,김점례,박천만,그라시엘라 무루아,루이스 미겔 파랄도,아나 클라우디아 오베를린,카를로스 소미글리아나,미리암 레윈,카를로스 무뇨스,아나 마리아 카레아가,리타 보이타노,알레한드라 나프탈,로사 데 카마로티,에스텔라 데 카를로토,레오나르도 포사티 오르테가,빅토리아 몬테네그로,부스카리타 로아,그라시엘라 가르시아,에벨 데 페트리니,메르세데스 데 메로뇨",2020,54,3
21,23,아들의 이름으로,"드라마,스릴러",한국,이정국,6.42,"안성기,박근형,윤유선",2020,43,1
22,24,광주비디오: 사라진 4시간,다큐멘터리,한국,이조훈,4.4,"민승연,박상증,고재형,기춘",2020,310,5
23,25,시동,드라마,한국,최정열,7.58,"마동석,박정민,정해인,염정아,최성은",2019,60,1
24,26,자산어보,"사극,드라마",한국,이준익,9.34,"설경구,변요한",2019,170,5
25,27,기묘한 가족,"코미디,가족",한국,이민재,6.36,"정재영,김남길,엄지원,이수경,정가람,박인환",2018,227,5
26,28,동경 이야기,드라마,일본,오즈 야스지로,8.8,"류 치슈,히가시야마 치에코",1953,397,2
27,29,모가디슈,"액션,드라마",한국,류승완,8.33,"김윤석,조인성,허준호,구교환,김소진,정만식",2021,229,5
28,30,기적,드라마,한국,이장훈,9.25,"박정민,이성민,윤아,이수경",2020,389,3
29,31,극장판 프리파라 모두 모여라! 프리즘☆투어즈,애니메이션,한국,히시다 마사카즈,7.03,"아케사카 사토미 ,아스미 카나,고토 사오리,하라 사유리,이토 카나에,카키하라 테츠야,카토 에미리,치바 스스무",2016,221,1
30,32,날씨의 아이,"애니메이션,판타지,멜로/로맨스",일본,신카이 마코토,7.96,"심규혁,김유림,최한,강은애,이장원,손정아,다이고 코타로,모리 나나,오구리 슌,혼다 츠바사,히라이즈미 세이",2019,309,2
31,33,드라이브 마이 카,드라마,일본,하마구치 류스케,8.42,"니시지마 히데토시,미우라 토코",2021,356,4
32,34,메모리: 조작살인,미스터리,한국,김현우,6.99,"김윤서,정은우",2021,197,5
33,35,로그 인 벨지움,다큐멘터리,한국,유태오,7.75,.,2021,233,1
34,36,정의심판,드라마,한국,조성현,7.69,조성현,2019,222,3
35,37,이타미 준의 바다,다큐멘터리,한국,정다운,8.99,"쿠마 켄고,유이화,반 시게루,양방언,유지태",2019,61,5
36,38,휴가,드라마,한국,이란희,8.84,"이봉하,김아석,신운섭",2020,200,5
37,39,파란입이 달린 얼굴,드라마,한국,김수정,8.05,"장리우,진용욱",2015,123,2
38,40,혼자 사는 사람들,드라마,한국,홍성은,8.07,"공승연,정다은",2021,390,2
39,41,지슬 - 끝나지 않은 세월2,드라마,한국,오멸,6.28,"이경준,홍상표,문석범,양정원,박순동,성민철",2012,83,3
40,42,그물,드라마,한국,김기덕,7.51,"류승범,이원근,김영민,최귀화,손민석,박지일",2016,316,4
41,43,십개월의 미래,드라마,한국,남궁선,8.1,"최성은,서영주,유이든,백현진,권아름",2020,153,5
42,44,"다시, 봄","드라마,판타지",한국,정용주,8.0,"이청아,홍종현",2018,159,3
43,45,극장판 귀멸의 칼날: 무한열차편,애니메이션,일본,소토자키 하루오,9.27,"하나에 나츠키,키토 아카리,이경태,김연우,김지율,이호산,장민혁,김현욱,전태열",2020,241,4
44,46,아쿠아맨,액션,"미국,호주",제임스 완,8.36,"앰버 허드,제이슨 모모아,윌렘 대포,패트릭 윌슨,니콜 키드먼,돌프 룬드그렌",2018,83,5
45,47,프렌치 디스패치,"코미디,드라마,멜로/로맨스",미국,웨스 앤더슨,7.97,"티모시 샬라메,빌 머레이,틸다 스윈튼,제프리 라이트,베니시오 델 토로,레아 세이두,프란시스 맥도맨드,애드리언 브로디,오웬 윌슨,리나 쿠드리,스티브 박,마티유 아말릭",2021,339,1
46,48,신비한 동물사전,"어드벤처,가족,판타지","미국,영국",데이빗 예이츠,8.18,"에디 레드메인,캐서린 워터스턴,콜린 파렐,앨리슨 수돌",2016,64,3
47,49,한공주,드라마,한국,이수진,8.81,"천우희,정인선,김소영",2013,199,2
48,50,써니 감독판,"드라마,코미디",한국,강형철,9.12,"유호정,심은경,강소라,고수희,김민영,홍진희,박진주,이연경,남보라,김보미,민효린",2011,385,3
49,51,우상,스릴러,한국,이수진,3.92,"한석규,설경구,천우희",2018,357,1
50,52,어제 일은 모두 괜찮아,드라마,한국,이성한,8.79,"김재철,윤찬영,손상연,김민주,김진영",2019,314,2
51,53,벌새,드라마,한국,김보라,8.75,"박지후,김새벽",2018,208,2
52,54,내안의 그놈,"판타지,코미디",한국,강효진,8.19,"진영,박성웅,라미란,이수민,이준혁,김광규",2018,312,5
53,55,신의 한 수: 귀수편,"범죄,액션",한국,리건,7.78,"권상우,김희원,김성균",2019,311,5
54,56,최면,"공포(호러),스릴러",한국,최재훈,4.88,"이다윗,조현,김도훈,남민우,김남우",2021,21,4
55,57,그래도 내가 하지 않았어,드라마,일본,수오 마사유키,9.18,"카세 료,세토 아사카,야마모토 코지,모타이 마사코,야쿠쇼 코지",2006,358,3
56,58,간호중,SF,한국,민규동,7.96,"이유영,예수정,염혜란,윤경호",2020,374,4
57,60,가치 캅시다,드라마,한국,조승원,7.71,"김기현,강형석,박한이",2020,4,4
58,61,귀향,"드라마,판타지",스페인,페드로 알모도바르,8.66,"페넬로페 크루즈,카르멘 마우라",2006,153,5
59,62,나쁜 교육,드라마,스페인,페드로 알모도바르,8.45,"가엘 가르시아 베르날,펠레 마르티네즈,다니엘 기메네즈 카쵸,루이스 호마르,하비에 카마라",2004,23,4
60,63,브로큰 임브레이스,"드라마,스릴러,멜로/로맨스",스페인,페드로 알모도바르,7.5,"페넬로페 크루즈,안젤라 몰리나,루벤 오칸디아노,로라 두에나스",2009,34,3
61,64,타이거마스크,"코미디,액션",한국,염정원,5.28,"조한선,황보운,강별",2021,321,2
62,66,혈의 누,스릴러,한국,김대승,7.98,"차승원,박용우,지성",2005,282,5
63,67,이상존재,공포(호러),한국,차진우,4.3,"유세윤,임우일",2021,91,3
64,68,총을 들지 않는 사람들: 금기에 도전,다큐멘터리,한국,김환태,5.92,"이용석,최정민,임재성",2020,327,1
65,69,여타짜,"범죄,드라마",한국,이지승,4.79,"이채영,정혜인",2021,55,5
66,70,유체이탈자,"판타지,액션",한국,윤재근,7.54,"윤계상,박용우,임지연",2020,234,4
67,71,소설가 구보의 하루,드라마,한국,임현묵,8.51,"박종환,김새벽",2020,56,1
68,72,사막을 건너 호수를 지나,다큐멘터리,한국,"박소현,송영윤",8.0,"황지은,박승규,고수경,김지아",2019,43,5
69,73,해피 뉴 이어,"멜로/로맨스,드라마",한국,곽재용,7.07,"한지민,이동욱,강하늘,윤아,원진아,이혜영,정진영,김영광,서강준,이광수,고성희,이진욱,조준영,원지안",2021,185,2
70,74,허스토리,드라마,한국,민규동,9.29,"김희애,김해숙",2017,61,4
71,75,해리 포터와 불사조 기사단,"판타지,액션,어드벤처",미국,데이빗 예이츠,7.04,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트",2007,72,5
72,76,덩케르크,"액션,드라마,스릴러,전쟁","미국,영국",크리스토퍼 놀란,8.29,"톰 하디,킬리언 머피,케네스 브래너,마크 라이런스,해리 스타일스,핀 화이트헤드,아뉴린 바나드,톰 글린 카니,잭 로던,배리 케오간",2017,377,1
73,77,듄,SF,미국,드니 빌뇌브,7.95,"티모시 샬라메,레베카 퍼거슨,오스카 아이삭",2021,220,1
74,78,아담,드라마,"모로코,프랑스,벨기에",마리암 투자니,7.56,"루브나 아자발,니스린 에라디,아지즈 하타브,두아이 벨카우다",2019,377,1
75,79,우리는 이별에 서툴러서,"드라마,판타지",한국,"이현지,이건욱,박동기,민병채",7.0,"이건욱,김현진,김혜원,신민재,손우현,한예주,박동기,진혁,장이슬,지세현,이청미",2021,264,3
76,80,꽃손,드라마,한국,권순중,6.0,"김이안,손숙,전무송,한인수,이주실,이용녀,박혜진,손영순",2018,291,2
77,81,기우제,"드라마,멜로/로맨스",한국,권하,9.34,"신현규,송길호,전은정",2021,245,5
78,82,기억의 시간,멜로/로맨스,한국,황경성,7.6,"이성열,박은우",2021,332,1
79,83,올드보이,스릴러,한국,박찬욱,9.03,"최민식,유지태,강혜정",2003,158,4
80,84,신데렐라 2: 마법에 걸린 왕자,"애니메이션,판타지,어드벤처",미국,앨리스 블레하트,4.68,.,2021,302,1
81,85,봉이 김선달,사극,한국,박대민,7.72,"유승호,조재현,고창석,라미란,시우민",2016,369,5
