,영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사,평점,배우
0,마태복음,Il Vangelio Secondo Matteo,1964,이탈리아,장편,"드라마,사극",개봉,피에르 파올로 파솔리니,,7.71,엔리케 이라조퀴|마르게리타 카루소|수잔나 파솔리니|
1,월ㆍE,Wallㆍe,2008,미국,장편,"애니메이션,코미디,액션,어드벤처,가족,SF",개봉,앤드류 스탠튼,,9.42,벤 버트|엘리사 나이트|제프 갈린|프레드 윌러드|
2,설국열차,Snowpiercer,2013,"한국,체코",장편,"SF,액션",개봉,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",7.98,크리스 에반스|송강호|에드 해리스|존 허트|틸다 스윈튼|제이미 벨|옥타비아 스펜서|이완 브렘너|알리슨 필|고아성|
3,매드 맥스: 분노의 도로,Mad Max: Fury Road,2015,"미국,호주",장편,"액션,어드벤처,스릴러",개봉,조지 밀러,,8.81,톰 하디|샤를리즈 테론|니콜라스 홀트|
4,사랑하고 있습니까,,2019,한국,장편,"판타지,멜로/로맨스",개봉,김정권,(주)강철필름,7.8,김인권|이나라|서태화|
5,다키스트 아워,Darkest Hour,2017,영국,장편,"드라마,전쟁",개봉,조 라이트,,9.11,릴리 제임스|게리 올드만|벤 멘델슨|크리스틴 스콧 토마스|스티븐 딜레인|
6,태양의 소녀들,Girls of the Sun,2018,프랑스,장편,"드라마,전쟁",개봉,에바 허슨,,9.07,골쉬프테 파라하니|엠마누엘 베르코|
7,쁘띠 마망,Petite Maman,2021,프랑스,장편,"드라마,판타지",개봉,셀린 시아마,,8.57,조세핀 산스|가브리엘 산스|
8,해리포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,2004,미국,장편,드라마,개봉,알폰소 쿠아론,워너브러더스사㈜,8.75,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트|
9,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,2002,미국,장편,드라마,개봉,크리스 콜럼버스,,8.9,다니엘 래드클리프|루퍼트 그린트|엠마 왓슨|
10,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,2001,미국,장편,"가족,판타지",개봉,크리스 콜럼버스,,9.36,다니엘 래드클리프|루퍼트 그린트|엠마 왓슨|
