	title	title_Eng	year	country	type	genre	status	director	company
0	마태복음	Il Vangelio Secondo Matteo	1964	이탈리아	장편	드라마,사극	개봉	피에르 파올로 파솔리니	
1	월ㆍE	Wallㆍe	2008	미국	장편	애니메이션,코미디,액션,어드벤처,가족,SF	개봉	앤드류 스탠튼	
2	설국열차	Snowpiercer	2013	한국,체코	장편	SF,액션	개봉	봉준호	(주)모호필름,오퍼스픽쳐스(유)
3	매드 맥스: 분노의 도로	Mad Max: Fury Road	2015	미국,호주	장편	액션,어드벤처,스릴러	개봉	조지 밀러	
4	사랑하고 있습니까		2019	한국	장편	판타지,멜로/로맨스	개봉	김정권	(주)강철필름
5	다키스트 아워	Darkest Hour	2017	영국	장편	드라마,전쟁	개봉	조 라이트	
6	태양의 소녀들	Girls of the Sun	2018	프랑스	장편	드라마,전쟁	개봉	에바 허슨	
7	쁘띠 마망	Petite Maman	2021	프랑스	장편	드라마,판타지	개봉	셀린 시아마	
8	해리포터와 아즈카반의 죄수	Harry Potter And The Prisoner Of Azkaban	2004	미국	장편	드라마	개봉	알폰소 쿠아론	워너브러더스사㈜
9	해리포터와 비밀의 방	Harry Potter And The Chamber Of Secrets	2002	미국	장편	드라마	개봉	크리스 콜럼버스	
10	해리포터와 마법사의 돌	Harry Potter And The Socrerers Stone	2001	미국	장편	가족,판타지	개봉	크리스 콜럼버스	
11	노래로 쏘아 올린 기적	The Idol	2015	팔레스타인,아르헨티나	장편	드라마	개봉	하니 아부 아사드	
12	용과 주근깨 공주	Belle : The Dragon and the Freckled Princess	2021	일본	장편	애니메이션,어드벤처,드라마	개봉	호소다 마모루	
13	보이콰이어	Boychoir	2014	미국	장편	드라마	개봉	프랑소아 지라드	
14	노웨어 스페셜	Nowhere Special	2020	이탈리아	장편	드라마	개봉	우베르토 파솔리니	
15	나는 조선사람입니다	I Am From Chosun	2020	한국	장편	다큐멘터리	개봉	김철민	엠앤씨에프,다큐창작소,(주)영화사진
16	너에게 가는 길	Coming to you	2021	한국	장편	다큐멘터리	개봉	변규리	성소수문화환경을 위한 모임 '연분홍치마'
17	비커밍 아스트리드	Becoming Astrid	2019	기타	장편	드라마	개봉	퍼닐 피셔 크리스텐센	
18	코다	CODA	2021	프랑스	장편	드라마	개봉	션 헤이더	
19	태일이	Chun Tae-il	2021	한국	장편	애니메이션	개봉	홍준표	(주)명필름,(주)스튜디오루머,전태일재단,유한회사 질라라비,영화 <태일이> 1970인 제작위원
20	리슨	Listen	2020	영국	장편	드라마	개봉	아나 로샤	
