	title	rating	actor
0	마태복음	7.71	엔리케 이라조퀴,마르게리타 카루소,수잔나 파솔리니,
1	월ㆍE	9.42	벤 버트,엘리사 나이트,제프 갈린,프레드 윌러드,
2	설국열차	7.98	크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,알리슨 필,고아성,
3	매드 맥스: 분노의 도로	8.81	톰 하디,샤를리즈 테론,니콜라스 홀트,
4	사랑하고 있습니까	7.8	김인권,이나라,서태화,
5	다키스트 아워	9.11	릴리 제임스,게리 올드만,벤 멘델슨,크리스틴 스콧 토마스,스티븐 딜레인,
6	태양의 소녀들	9.07	골쉬프테 파라하니,엠마누엘 베르코,
7	쁘띠 마망	8.57	조세핀 산스,가브리엘 산스,
8	해리포터와 아즈카반의 죄수	8.75	다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,
9	해리포터와 비밀의 방	8.9	다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,
10	해리포터와 마법사의 돌	9.36	다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,
11	노래로 쏘아 올린 기적	8.22	타우픽 바롬,카이스 아타라,히바 아타라,
12	용과 주근깨 공주	6.68	사토 타케루,나리타 료,소메타니 쇼타,타마시로 티나,
13	보이콰이어	8.74	캐시 베이츠,더스틴 호프만,
14	노웨어 스페셜	8.55	제임스 노턴,다니엘 라몬트,
15	나는 조선사람입니다	8.62	강종헌,김창오,박금숙,부만수,서원수,이동석,이철,
16	너에게 가는 길	9.2	정은애,강선화,봉레오,정예준,곽인선,남성준,정동렬,
17	비커밍 아스트리드	0	...
18	코다	9.14	에밀리아 존스,퍼디아 월시-필로,트로이 코처,다니엘 듀런트,말리 매트린,에우헤니오 데르베스,에이미 포사이스,
19	태일이	0	...
20	리슨	7.76	루시아 모니즈,소피아 마일즈,메이지 슬라이,
21	한창나이 선녀님	9.52	임<b>선녀</b>,
